batch_id,standard_reference_id,report_id,company_id,company_name_zh,company_name_en,world500_rank,standard_name_en,standard_name_zh,standard_family_en,standard_family_zh,standard_role_en,standard_role_zh,referenced_content_en,referenced_content_zh,scope_relevance_en,scope_relevance_zh,emission_type_relevance_en,emission_type_relevance_zh,accounting_principle_en,accounting_principle_zh,is_gb_standard,gb_standard_code,referenced_snippet,evidence_page,review_status,confidence_level
batch_06,batch_06__r222_nvidia__20250__sustainabilityreport__gri,r222_nvidia__20250__sustainabilityreport,r222_nvidia,英伟达公司,NVIDIA,222,GRI,GRI,ESG disclosure framework,ESG披露框架,Disclosure standard,披露标准,Sustainability disclosure index and emissions-related reporting indicators.,可持续披露指标索引及排放相关披露指标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Materiality|Comparability,重要性|可比性,no,,"y assessment, assessing sustainability issues based on financial and impact materiality. We determine the sustainability topics to include in our reporting based on our impacts, stakeholder expectations, and frameworks such as the Global Re",8,seed_batch_06,medium
batch_06,batch_06__r222_nvidia__20250__sustainabilityreport__sasb,r222_nvidia__20250__sustainabilityreport,r222_nvidia,英伟达公司,NVIDIA,222,SASB,SASB,Industry disclosure framework,行业披露框架,Disclosure guideline,披露指引,Industry-specific sustainability metrics and investor-facing climate indicators.,行业特定可持续指标及投资者导向的气候指标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Financial materiality,财务重要性,no,,"y assessment, assessing sustainability issues based on financial and impact materiality. We determine the sustainability topics to include in our reporting based on our impacts, stakeholder expectations, and frameworks such as the Global Re",8,seed_batch_06,medium
batch_06,batch_06__r222_nvidia__20250__sustainabilityreport__tcfd,r222_nvidia__20250__sustainabilityreport,r222_nvidia,英伟达公司,NVIDIA,222,TCFD,TCFD,Climate disclosure framework,气候信息披露框架,Disclosure recommendation,披露建议,"Climate governance, strategy, risk management, and metrics and targets.",气候治理、战略、风险管理以及指标与目标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Materiality|Consistency,重要性|一致性,no,,"y assessment, assessing sustainability issues based on financial and impact materiality. We determine the sustainability topics to include in our reporting based on our impacts, stakeholder expectations, and frameworks such as the Global Re",8,seed_batch_06,medium
batch_06,batch_06__r222_nvidia__20250__sustainabilityreport__ghg_protocol,r222_nvidia__20250__sustainabilityreport,r222_nvidia,英伟达公司,NVIDIA,222,GHG Protocol,GHG Protocol,GHG accounting system,温室气体核算体系,Accounting standard,核算标准,"Corporate greenhouse-gas inventory, Scope 1-3 boundary and accounting rules.",企业温室气体清单、Scope 1-3边界及核算规则。,Scope 1|Scope 2|Scope 3,范围1|范围2|范围3,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Relevance|Completeness|Consistency|Transparency|Accuracy,相关性|完整性|一致性|透明性|准确性,no,,"age the greenhouse gas (GHG) emissions footprint of our data centers, labs, and offices, we strategically focus on locating new sites, selecting facilities to expand, managing our operations efficiently, and sourcing renewable energy. Manag",12,seed_batch_06,medium
batch_06,batch_06__r222_nvidia__20250__sustainabilityreport__iso_14067,r222_nvidia__20250__sustainabilityreport,r222_nvidia,英伟达公司,NVIDIA,222,ISO 14067,ISO 14067,ISO product carbon standard,ISO产品碳足迹标准,Methodology standard,方法学标准,Product carbon footprint quantification and communication.,产品碳足迹量化与沟通。,Scope 3,范围3,Other indirect emissions,其他间接排放,Life-cycle perspective,生命周期视角,no,,"perform third-party verified Life Cycle Assessments (LCAs) and Product Carbon Footprints (PCFs) aligned with ISO international standards. In FY26, we published a PCF summary for our NVIDIA HGX™ H100 GPU baseboard. The PCF was developed in c",20,seed_batch_06,medium
batch_06,batch_06__r223_stonex集团__20240__other__ghg_protocol,r223_stonex集团__20240__other,r223_stonex集团,StoneX集团,StoneX集团,223,GHG Protocol,GHG Protocol,GHG accounting system,温室气体核算体系,Accounting standard,核算标准,"Corporate greenhouse-gas inventory, Scope 1-3 boundary and accounting rules.",企业温室气体清单、Scope 1-3边界及核算规则。,Scope 1|Scope 2|Scope 3,范围1|范围2|范围3,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Relevance|Completeness|Consistency|Transparency|Accuracy,相关性|完整性|一致性|透明性|准确性,no,,"ng an organizational boundary, which involves accounting for GHG emissions from operations over which StoneX has control across its entire business in all locations. StoneX’s GHG emissions have been calculated and analyzed in accordance wit",9,seed_batch_06,medium
batch_06,batch_06__r224_zurichinsurancegroup__20240__sustainabilityreport__sbti,r224_zurichinsurancegroup__20240__sustainabilityreport,r224_zurichinsurancegroup,苏黎世保险集团,ZURICH INSURANCE GROUP,224,SBTi,SBTi,Climate target governance system,气候目标治理体系,Target validation guideline,目标审定指引,Science-based target setting and validation for Scope 1-3 targets.,针对Scope 1-3目标的科学碳目标设定与审定。,Scope 1|Scope 2|Scope 3,范围1|范围2|范围3,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Science-based ambition,科学目标约束,no,,"evelop its operations. According to the 2023 baseline of managed procurement spend, excluding suppliers no longer active in the year of reporting. 7 We consider a supplier to have science-based targets when their emission reduction targets ",3,seed_batch_06,medium
batch_06,batch_06__r224_zurichinsurancegroup__20240__sustainabilityreport__tcfd,r224_zurichinsurancegroup__20240__sustainabilityreport,r224_zurichinsurancegroup,苏黎世保险集团,ZURICH INSURANCE GROUP,224,TCFD,TCFD,Climate disclosure framework,气候信息披露框架,Disclosure recommendation,披露建议,"Climate governance, strategy, risk management, and metrics and targets.",气候治理、战略、风险管理以及指标与目标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Materiality|Consistency,重要性|一致性,no,,f bribery & corruption 199 5.3 Human rights 201 5.4 Sustainable sourcing 203 5.5 Responsible tax 203 5.6 Community investment 205 6 Appendix 206 6.1 Our yearly progress on our targets and ambitions 206 6.2 Material topics and subtopics refe,5,seed_batch_06,medium
batch_06,batch_06__r224_zurichinsurancegroup__20240__sustainabilityreport__sasb,r224_zurichinsurancegroup__20240__sustainabilityreport,r224_zurichinsurancegroup,苏黎世保险集团,ZURICH INSURANCE GROUP,224,SASB,SASB,Industry disclosure framework,行业披露框架,Disclosure guideline,披露指引,Industry-specific sustainability metrics and investor-facing climate indicators.,行业特定可持续指标及投资者导向的气候指标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Financial materiality,财务重要性,no,,"ernments and stakeholders, as well as the progression of standards and frameworks on what and how to report on sustainability. We have moved from first-time reporting to enhanced coverage of the requirements from the Sustainability Accounti",6,seed_batch_06,medium
batch_06,batch_06__r224_zurichinsurancegroup__20240__sustainabilityreport__gri,r224_zurichinsurancegroup__20240__sustainabilityreport,r224_zurichinsurancegroup,苏黎世保险集团,ZURICH INSURANCE GROUP,224,GRI,GRI,ESG disclosure framework,ESG披露框架,Disclosure standard,披露标准,Sustainability disclosure index and emissions-related reporting indicators.,可持续披露指标索引及排放相关披露指标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Materiality|Comparability,重要性|可比性,no,,"rapolated to produce an annualized view (based on our methodology), this is indicated by footnotes in the respective tables. We provide detailed index tables2 related to SASB and WEF IBC on our website, alongside references to the Global Re",7,seed_batch_06,medium
batch_06,batch_06__r224_zurichinsurancegroup__20240__sustainabilityreport__esrs_csrd,r224_zurichinsurancegroup__20240__sustainabilityreport,r224_zurichinsurancegroup,苏黎世保险集团,ZURICH INSURANCE GROUP,224,ESRS/CSRD,ESRS/CSRD,EU sustainability disclosure regime,欧盟可持续披露体系,Disclosure standard,披露标准,EU sustainability reporting requirements including climate metrics and governance.,欧盟可持续报告要求，包括气候指标与治理要求。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Double materiality|Comparability,双重重要性|可比性,no,,"ur risks, opportunities and impacts. To do so, we work together with our stakeholders to get a clearer picture of what matters most for us from a sustainability perspective. To deliver robust results, we aligned our approach with the struct",10,seed_batch_06,medium
