batch_id,company_id,company_name_zh,company_name_en,world500_rank,gbt4754_section_code,gbt4754_section_name_zh,gbt4754_section_name_en,mapping_basis_en,mapping_basis_zh,review_status,confidence_level
batch_04,r131_waltdisney,华特迪士尼公司,WALT DISNEY,131,R,文化、体育和娱乐业,"Culture, Sports and Entertainment",Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_04,r132_orlen,波兰国营石油公司,ORLEN,132,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_04,r133_delltechnologies,戴尔科技公司,DELL TECHNOLOGIES,133,C,制造业,Manufacturing,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_04,r134_dhlgroup,敦豪集团,DHL GROUP,134,G,交通运输、仓储和邮政业,"Transport, Storage and Post",Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_04,r135_chinatelecommunications,中国电信集团有限公司,CHINA TELECOMMUNICATIONS,135,I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_04,r136_nissanmotor,日产汽车,NISSAN MOTOR,136,C,制造业,Manufacturing,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_04,r137_royalbankofcanada,加拿大皇家银行,ROYAL BANK OF CANADA,137,J,金融业,Finance,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_04,r139_lowes,美国劳氏公司,LOWE'S,139,F,批发和零售业,Wholesale and Retail Trade,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_04,r140_tesco,乐购,TESCO,140,F,批发和零售业,Wholesale and Retail Trade,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_04,r143_byd,比亚迪股份有限公司,BYD,143,C,制造业,Manufacturing,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_04,r144_nipponlifeinsurance,日本生命保险公司,NIPPON LIFE INSURANCE,144,J,金融业,Finance,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_04,r145_siemens,西门子,SIEMENS,145,C,制造业,Manufacturing,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_04,r146_japanpostholdings,日本邮政控股公司,JAPAN POST HOLDINGS,146,J,金融业,Finance,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_04,r148_mitsubishiufjfinancialgroup,三菱日联金融集团,MITSUBISHI UFJ FINANCIAL GROUP,148,J,金融业,Finance,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_04,r150_wuchanzhongdagroup,物产中大集团股份有限公司,WUCHAN ZHONGDA GROUP,150,L,租赁和商务服务业,Leasing and Business Services,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
