batch_id,company_id,company_name_zh,company_name_en,world500_rank,gbt4754_section_code,gbt4754_section_name_zh,gbt4754_section_name_en,mapping_basis_en,mapping_basis_zh,review_status,confidence_level
batch_05,r168_torontodominionbank,多伦多道明银行,TORONTO-DOMINION BANK,168,J,金融业,Finance,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r169_lukoil,卢克石油公司,LUKOIL,169,D,电力、热力、燃气及水生产和供应业,"Electricity, Heat, Gas and Water Production and Supply",Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r177_alimentationcouchetard公司,Alimentation Couche-Tard公司,Alimentation Couche-Tard公司,177,F,批发和零售业,Wholesale and Retail Trade,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r179_chinamerchantsbank,招商银行股份有限公司,CHINA MERCHANTS BANK,179,J,金融业,Finance,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r182_ubsgroup,瑞银集团,UBS GROUP,182,J,金融业,Finance,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r183_airbus,空中客车公司,AIRBUS,183,C,制造业,Manufacturing,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r184_toyotatsusho,丰田通商公司,TOYOTA TSUSHO,184,L,租赁和商务服务业,Leasing and Business Services,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r186_taiwansemiconductormanufacturing,台积公司,TAIWAN SEMICONDUCTOR MANUFACTURING,186,C,制造业,Manufacturing,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r189_itaúunibancoholding,伊塔乌联合银行控股公司,ITAÚ UNIBANCO HOLDING,189,J,金融业,Finance,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r190_arcelormittal,安赛乐米塔尔,ARCELORMITTAL,190,C,制造业,Manufacturing,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r191_generalelectric,通用电气公司,GENERAL ELECTRIC,191,C,制造业,Manufacturing,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r192_beijingautomotivegroup,北京汽车集团有限公司,BEIJING AUTOMOTIVE GROUP,192,C,制造业,Manufacturing,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r193_lockheedmartin,洛克希德－马丁,LOCKHEED MARTIN,193,C,制造业,Manufacturing,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r195_americanexpress,美国运通公司,AMERICAN EXPRESS,195,J,金融业,Finance,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r196_hitachi,日立,HITACHI,196,C,制造业,Manufacturing,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r199_caterpillar,卡特彼勒,CATERPILLAR,199,C,制造业,Manufacturing,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r202_metlife,美国大都会集团,METLIFE,202,J,金融业,Finance,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r206_chinavanke,万科企业股份有限公司,CHINA VANKE,206,K,房地产业,Real Estate,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r208_sumitomomitsuifinancialgroup,日本三井住友金融集团,SUMITOMO MITSUI FINANCIAL GROUP,208,J,金融业,Finance,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r211_accenture,埃森哲,ACCENTURE,211,I,信息传输、软件和信息技术服务业,"Information Transmission, Software and Information Technology Services",Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r212_barclays,巴克莱,BARCLAYS,212,J,金融业,Finance,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r215_munichregroup,慕尼黑再保险集团,MUNICH RE GROUP,215,J,金融业,Finance,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r217_bancodobrasil,巴西银行,BANCO DO BRASIL,217,J,金融业,Finance,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r221_deere,迪尔公司,DEERE,221,C,制造业,Manufacturing,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
batch_05,r222_nvidia,英伟达公司,NVIDIA,222,C,制造业,Manufacturing,Mapped directly from the world500 registry entry.,Directly mapped from the world500 registry GB/T 4754-2017 section field.,registry_mapped,high
