batch_id,standard_reference_id,report_id,company_id,company_name_zh,company_name_en,world500_rank,standard_name_en,standard_name_zh,standard_family_en,standard_family_zh,standard_role_en,standard_role_zh,referenced_content_en,referenced_content_zh,scope_relevance_en,scope_relevance_zh,emission_type_relevance_en,emission_type_relevance_zh,accounting_principle_en,accounting_principle_zh,is_gb_standard,gb_standard_code,referenced_snippet,evidence_page,review_status,confidence_level
batch_05,batch_05__r168_torontodominionbank__20240__sustainabilityreport__gri,r168_torontodominionbank__20240__sustainabilityreport,r168_torontodominionbank,多伦多道明银行,TORONTO-DOMINION BANK,168,GRI,GRI,ESG disclosure framework,ESG披露框架,Disclosure standard,披露标准,Sustainability disclosure index and emissions-related reporting indicators.,可持续披露指标索引及排放相关披露指标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Materiality|Comparability,重要性|可比性,no,,"are effective for Domestic Systemically Important Banks (D-SIBs), including TD, as of fiscal year-end 2024. For more information about how we are following OSFI’s B-15 Guidelines, refer to the OSFI B-15 Index. • The voluntary 2021 Global Re",3,seed_batch_05,medium
batch_05,batch_05__r168_torontodominionbank__20240__sustainabilityreport__sasb,r168_torontodominionbank__20240__sustainabilityreport,r168_torontodominionbank,多伦多道明银行,TORONTO-DOMINION BANK,168,SASB,SASB,Industry disclosure framework,行业披露框架,Disclosure guideline,披露指引,Industry-specific sustainability metrics and investor-facing climate indicators.,行业特定可持续指标及投资者导向的气候指标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Financial materiality,财务重要性,no,,"are effective for Domestic Systemically Important Banks (D-SIBs), including TD, as of fiscal year-end 2024. For more information about how we are following OSFI’s B-15 Guidelines, refer to the OSFI B-15 Index. • The voluntary 2021 Global Re",3,seed_batch_05,medium
batch_05,batch_05__r168_torontodominionbank__20240__sustainabilityreport__tcfd,r168_torontodominionbank__20240__sustainabilityreport,r168_torontodominionbank,多伦多道明银行,TORONTO-DOMINION BANK,168,TCFD,TCFD,Climate disclosure framework,气候信息披露框架,Disclosure recommendation,披露建议,"Climate governance, strategy, risk management, and metrics and targets.",气候治理、战略、风险管理以及指标与目标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Materiality|Consistency,重要性|一致性,no,,"are effective for Domestic Systemically Important Banks (D-SIBs), including TD, as of fiscal year-end 2024. For more information about how we are following OSFI’s B-15 Guidelines, refer to the OSFI B-15 Index. • The voluntary 2021 Global Re",3,seed_batch_05,medium
batch_05,batch_05__r168_torontodominionbank__20240__sustainabilityreport__ghg_protocol,r168_torontodominionbank__20240__sustainabilityreport,r168_torontodominionbank,多伦多道明银行,TORONTO-DOMINION BANK,168,GHG Protocol,GHG Protocol,GHG accounting system,温室气体核算体系,Accounting standard,核算标准,"Corporate greenhouse-gas inventory, Scope 1-3 boundary and accounting rules.",企业温室气体清单、Scope 1-3边界及核算规则。,Scope 1|Scope 2|Scope 3,范围1|范围2|范围3,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Relevance|Completeness|Consistency|Transparency|Accuracy,相关性|完整性|一致性|透明性|准确性,no,,"84 P erformance indicators for which EY provided a limited level of assurance 60,728 Facility GHG Emissions Intensity kgCO2e per square foot 2.0 2.1 2.2 2.5 Revenue GHG Emissions Intensity tCO2e per millions in revenue 0.8 0.9 1.0 1.4 2 In ",56,seed_batch_05,medium
batch_05,batch_05__r168_torontodominionbank__20240__sustainabilityreport__sbti,r168_torontodominionbank__20240__sustainabilityreport,r168_torontodominionbank,多伦多道明银行,TORONTO-DOMINION BANK,168,SBTi,SBTi,Climate target governance system,气候目标治理体系,Target validation guideline,目标审定指引,Science-based target setting and validation for Scope 1-3 targets.,针对Scope 1-3目标的科学碳目标设定与审定。,Scope 1|Scope 2|Scope 3,范围1|范围2|范围3,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Science-based ambition,科学目标约束,no,,"target to achieve an absolute reduction in our location-based Scope 1 and 2 GHG emissions of 25% by 2025, relative to a 2019 baseline.57 This interim target is aligned with a science-based 1.5°C pathway and was set using the Science-Based T",58,seed_batch_05,medium
batch_05,batch_05__r168_torontodominionbank__20240__sustainabilityreport__pcaf,r168_torontodominionbank__20240__sustainabilityreport,r168_torontodominionbank,多伦多道明银行,TORONTO-DOMINION BANK,168,PCAF,PCAF,Financed emissions accounting system,投融资排放核算体系,Accounting standard,核算标准,Accounting methodology for financed emissions and investment-related footprints.,投融资排放及投资相关碳足迹核算方法。,Scope 3,范围3,Other indirect emissions,其他间接排放,Attribution|Data quality hierarchy,归因原则|数据质量层级,no,,"tors, their Scope 3 emissions, attributed to the Bank based on the proportion of the Bank’s lending to or investing in the client company. Financed emissions are calculated in accordance with the guidance from the Partnership for Carbon Acc",60,seed_batch_05,medium
batch_05,batch_05__r168_torontodominionbank__20240__sustainabilityreport__esrs_csrd,r168_torontodominionbank__20240__sustainabilityreport,r168_torontodominionbank,多伦多道明银行,TORONTO-DOMINION BANK,168,ESRS/CSRD,ESRS/CSRD,EU sustainability disclosure regime,欧盟可持续披露体系,Disclosure standard,披露标准,EU sustainability reporting requirements including climate metrics and governance.,欧盟可持续报告要求，包括气候指标与治理要求。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Double materiality|Comparability,双重重要性|可比性,no,,"d in December 2024. In addition, the Bank is monitoring developments from the Canadian Securities Administrators. For more information, please visit the Q1 Shareholder Report. – At this time, the European Union Corporate Sustainability Repo",93,seed_batch_05,medium
batch_05,batch_05__r169_lukoil__20240__sustainabilityreport__gri,r169_lukoil__20240__sustainabilityreport,r169_lukoil,卢克石油公司,LUKOIL,169,GRI,GRI,ESG disclosure framework,ESG披露框架,Disclosure standard,披露标准,Sustainability disclosure index and emissions-related reporting indicators.,可持续披露指标索引及排放相关披露指标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Materiality|Comparability,重要性|可比性,no,,l activities 106 Support projects in regions 123 Indigenous minorities of the North Appendices 124 Appendix 1. Abbreviations used 126 Appendix 2. Reporting boundaries 126 Appendix 3. Reporting standards and determination of material topi,2,seed_batch_05,medium
batch_05,batch_05__r169_lukoil__20240__sustainabilityreport__sasb,r169_lukoil__20240__sustainabilityreport,r169_lukoil,卢克石油公司,LUKOIL,169,SASB,SASB,Industry disclosure framework,行业披露框架,Disclosure guideline,披露指引,Industry-specific sustainability metrics and investor-facing climate indicators.,行业特定可持续指标及投资者导向的气候指标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Financial materiality,财务重要性,no,,l activities 106 Support projects in regions 123 Indigenous minorities of the North Appendices 124 Appendix 1. Abbreviations used 126 Appendix 2. Reporting boundaries 126 Appendix 3. Reporting standards and determination of material topi,2,seed_batch_05,medium
batch_05,batch_05__r169_lukoil__20240__sustainabilityreport__ghg_protocol,r169_lukoil__20240__sustainabilityreport,r169_lukoil,卢克石油公司,LUKOIL,169,GHG Protocol,GHG Protocol,GHG accounting system,温室气体核算体系,Accounting standard,核算标准,"Corporate greenhouse-gas inventory, Scope 1-3 boundary and accounting rules.",企业温室气体清单、Scope 1-3边界及核算规则。,Scope 1|Scope 2|Scope 3,范围1|范围2|范围3,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Relevance|Completeness|Consistency|Transparency|Accuracy,相关性|完整性|一致性|透明性|准确性,no,,"nhouse gas emissions from renewable energy sources): • The Greenhouse Gas Protocol: A Corporate Accounting and Reporting Standard. World Resources Institute and World Business Council for Sustainable Development, 2004 (revised); • The Green",66,seed_batch_05,medium
batch_05,batch_05__r169_lukoil__20240__sustainabilityreport__esrs_csrd,r169_lukoil__20240__sustainabilityreport,r169_lukoil,卢克石油公司,LUKOIL,169,ESRS/CSRD,ESRS/CSRD,EU sustainability disclosure regime,欧盟可持续披露体系,Disclosure standard,披露标准,EU sustainability reporting requirements including climate metrics and governance.,欧盟可持续报告要求，包括气候指标与治理要求。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Double materiality|Comparability,双重重要性|可比性,no,,according to multiple reporting systems. The corresponding reporting systems are indicated for the respective indicators. Reporting system and initiative designations used: BPIs – Basic Performance Indicators ESRS – European Sustainability ,88,seed_batch_05,medium
batch_05,batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__esrs_csrd,r177_alimentationcouchetard公司__20250__sustainabilityreport,r177_alimentationcouchetard公司,Alimentation Couche-Tard公司,Alimentation Couche-Tard公司,177,ESRS/CSRD,ESRS/CSRD,EU sustainability disclosure regime,欧盟可持续披露体系,Disclosure standard,披露标准,EU sustainability reporting requirements including climate metrics and governance.,欧盟可持续报告要求，包括气候指标与治理要求。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Double materiality|Comparability,双重重要性|可比性,no,,"Materiality Assessment, which involves assessing how our company’s business activities impact our climate and society, as well as how the climate and society impacts our company. This is a critical element of the Corporate Sustainability Re",38,seed_batch_05,medium
batch_05,batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__gri,r177_alimentationcouchetard公司__20250__sustainabilityreport,r177_alimentationcouchetard公司,Alimentation Couche-Tard公司,Alimentation Couche-Tard公司,177,GRI,GRI,ESG disclosure framework,ESG披露框架,Disclosure standard,披露标准,Sustainability disclosure index and emissions-related reporting indicators.,可持续披露指标索引及排放相关披露指标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Materiality|Comparability,重要性|可比性,no,,"nal control, or a direct management responsibility. Standards We developed the content of the report in reference to the Global Reporting Initiative Sustainability Standards and the Sustainability Accounting Standards Board. An index of our",41,seed_batch_05,medium
batch_05,batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__sasb,r177_alimentationcouchetard公司__20250__sustainabilityreport,r177_alimentationcouchetard公司,Alimentation Couche-Tard公司,Alimentation Couche-Tard公司,177,SASB,SASB,Industry disclosure framework,行业披露框架,Disclosure guideline,披露指引,Industry-specific sustainability metrics and investor-facing climate indicators.,行业特定可持续指标及投资者导向的气候指标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Financial materiality,财务重要性,no,,"nal control, or a direct management responsibility. Standards We developed the content of the report in reference to the Global Reporting Initiative Sustainability Standards and the Sustainability Accounting Standards Board. An index of our",41,seed_batch_05,medium
batch_05,batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__ifrs_s2,r177_alimentationcouchetard公司__20250__sustainabilityreport,r177_alimentationcouchetard公司,Alimentation Couche-Tard公司,Alimentation Couche-Tard公司,177,IFRS S2,IFRS S2,Climate disclosure standard,气候披露标准,Disclosure standard,披露标准,Climate-related financial disclosures and emissions metrics for investors.,面向投资者的气候相关财务披露及排放指标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Financial materiality|Comparability,财务重要性|可比性,no,,"pport our customers in moving toward a lower carbon emissions environment. Our climate-related financial disclosures ambition continues to align toward the disclosure standards set by the International Accounting Standards Board (IASB), and",42,seed_batch_05,medium
batch_05,batch_05__r177_alimentationcouchetard公司__20250__sustainabilityreport__ghg_protocol,r177_alimentationcouchetard公司__20250__sustainabilityreport,r177_alimentationcouchetard公司,Alimentation Couche-Tard公司,Alimentation Couche-Tard公司,177,GHG Protocol,GHG Protocol,GHG accounting system,温室气体核算体系,Accounting standard,核算标准,"Corporate greenhouse-gas inventory, Scope 1-3 boundary and accounting rules.",企业温室气体清单、Scope 1-3边界及核算规则。,Scope 1|Scope 2|Scope 3,范围1|范围2|范围3,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Relevance|Completeness|Consistency|Transparency|Accuracy,相关性|完整性|一致性|透明性|准确性,no,,Alimentation Couche-Tard Inc. Sustainability Report © 2025 52 Scope 1 & 2 GHG Emissions ACT’s Scope 1 and 2 GHG emissions are calculated in accordance with the Greenhouse Gas Protocol Corporate Accounting and Reporting Standard. Our 2025 re,52,seed_batch_05,medium
batch_05,batch_05__r179_chinamerchantsbank__20240__sustainabilityreport__gri,r179_chinamerchantsbank__20240__sustainabilityreport,r179_chinamerchantsbank,招商银行股份有限公司,CHINA MERCHANTS BANK,179,GRI,GRI,ESG disclosure framework,ESG披露框架,Disclosure standard,披露标准,Sustainability disclosure index and emissions-related reporting indicators.,可持续披露指标索引及排放相关披露指标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Materiality|Comparability,重要性|可比性,no,,“招”有为，服务高水平对外开放 [ 专题 】 驰而不息，同频共振服务区域发展 社会关键绩效 45 49 54 56 61 75 78 81 92 100 102 105 107 109 111 Ee 治理篇: 加强规范运作，筑牢高质量发展基石 公司治理 117 金融风险管理 123 商业道德 128 治理关键绩效 136 独立鉴证报告 138 内容索引 139 ( 上海证券交易所上市公司自律监管指引第 14 号一一 可持续发展报告(试行) 少索5 139 香港联合交易所《 环,3,seed_batch_05,medium
batch_05,batch_05__r179_chinamerchantsbank__20240__sustainabilityreport__gb_t_23331_2020,r179_chinamerchantsbank__20240__sustainabilityreport,r179_chinamerchantsbank,招商银行股份有限公司,CHINA MERCHANTS BANK,179,GB/T 23331-2020,GB/T 23331-2020,Other reporting framework,其他报告框架,Guideline,指引,"Referenced in the report as a reporting, assurance or methodological basis.",在报告中作为披露、鉴证或方法学依据被引用。,Enterprise-wide disclosure,企业整体披露,,,,,yes,GB/T 23331-2020,管理体系，系统推进低碳办公转型，有效减少自 身运莒对环境产生的影响。深圳总行大厦、研发中心、平湖金融创新大厦等自有办公物业通过环境管理体系 ISO 14001:2015(GB/T24001-2016)、能源管理体系1SO 50001:2018 ( GB/T 23331-2020 ) 认证。2024 年，本公司未发生突发重大环境事件，未发生因环境事件受到生态环境等有关部门重大行政处罚或追究刑事责任的情况 。 自身运营温室气体排放管理 2024 年，本公司着力构建自身运营温室气体,38,seed_batch_05,medium
batch_05,batch_05__r179_chinamerchantsbank__20240__sustainabilityreport__gb_t24001_2016,r179_chinamerchantsbank__20240__sustainabilityreport,r179_chinamerchantsbank,招商银行股份有限公司,CHINA MERCHANTS BANK,179,GB/T24001-2016,GB/T24001-2016,Other reporting framework,其他报告框架,Guideline,指引,"Referenced in the report as a reporting, assurance or methodological basis.",在报告中作为披露、鉴证或方法学依据被引用。,Enterprise-wide disclosure,企业整体披露,,,,,yes,GB/T24001-2016,管理体系，系统推进低碳办公转型，有效减少自 身运莒对环境产生的影响。深圳总行大厦、研发中心、平湖金融创新大厦等自有办公物业通过环境管理体系 ISO 14001:2015(GB/T24001-2016)、能源管理体系1SO 50001:2018 ( GB/T 23331-2020 ) 认证。2024 年，本公司未发生突发重大环境事件，未发生因环境事件受到生态环境等有关部门重大行政处罚或追究刑事责任的情况 。 自身运营温室气体排放管理 2024 年，本公司着力构建自身运营温室气体,38,seed_batch_05,medium
batch_05,batch_05__r182_ubsgroup__20240__sustainabilityreport__gri,r182_ubsgroup__20240__sustainabilityreport,r182_ubsgroup,瑞银集团,UBS GROUP,182,GRI,GRI,ESG disclosure framework,ESG披露框架,Disclosure standard,披露标准,Sustainability disclosure index and emissions-related reporting indicators.,可持续披露指标索引及排放相关披露指标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Materiality|Comparability,重要性|可比性,no,,"ts” section of the UBS Group Annual Report 2024, available under “Annual reporting” at ubs.com/investors, for supplementary information regarding certain significant subsidiaries This report has been prepared with reference to the Global Re",5,seed_batch_05,medium
batch_05,batch_05__r182_ubsgroup__20240__sustainabilityreport__esrs_csrd,r182_ubsgroup__20240__sustainabilityreport,r182_ubsgroup,瑞银集团,UBS GROUP,182,ESRS/CSRD,ESRS/CSRD,EU sustainability disclosure regime,欧盟可持续披露体系,Disclosure standard,披露标准,EU sustainability reporting requirements including climate metrics and governance.,欧盟可持续报告要求，包括气候指标与治理要求。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Double materiality|Comparability,双重重要性|可比性,no,,arget to be achieved by 2035. The target reflects our enlarged corporate real estate portfolio following the acquisition of the Credit Suisse Group and considers the latest definition of a “net-zero target” in the Corporate Sustainability R,32,seed_batch_05,medium
batch_05,batch_05__r182_ubsgroup__20240__sustainabilityreport__tcfd,r182_ubsgroup__20240__sustainabilityreport,r182_ubsgroup,瑞银集团,UBS GROUP,182,TCFD,TCFD,Climate disclosure framework,气候信息披露框架,Disclosure recommendation,披露建议,"Climate governance, strategy, risk management, and metrics and targets.",气候治理、战略、风险管理以及指标与目标。,Enterprise-wide disclosure,企业整体披露,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Materiality|Consistency,重要性|一致性,no,,"r around 2050 with interim targets in 2030 and 2040 on a well-to-wake (WTW) basis (compared with 2008 levels). 2012 Expanded our climate strategy, to also include risk management, investments, ﬁ nancing and research 2017 2020 /21 2024 by 20",33,seed_batch_05,medium
batch_05,batch_05__r182_ubsgroup__20240__sustainabilityreport__ghg_protocol,r182_ubsgroup__20240__sustainabilityreport,r182_ubsgroup,瑞银集团,UBS GROUP,182,GHG Protocol,GHG Protocol,GHG accounting system,温室气体核算体系,Accounting standard,核算标准,"Corporate greenhouse-gas inventory, Scope 1-3 boundary and accounting rules.",企业温室气体清单、Scope 1-3边界及核算规则。,Scope 1|Scope 2|Scope 3,范围1|范围2|范围3,Direct emissions|Indirect energy emissions|Other indirect emissions,直接排放|能源间接排放|其他间接排放,Relevance|Completeness|Consistency|Transparency|Accuracy,相关性|完整性|一致性|透明性|准确性,no,,"f in-scope activities in the fossil fuels (oil, gas and coal), power generation, iron and steel and cement corporate sectors. Our approach to target-setting is based on industry guidance and our calculation methodology is based on global st",34,seed_batch_05,medium
