world500_rank,company_id,company_name_en,company_name_zh,fact_type,scope_en,scope3_category_code,basis_en,boundary_en,value_text,unit_raw,value_mtco2e,verification_status,verification_reason_zh,evidence_page,source_file,source_path,required_action_zh,reviewer_boundary_decision,reviewer_use_decision,reviewer_note_zh
13,r013_shell,SHELL,壳牌公司,scope3_category_value,,1,,,119,MtCO2e,119.0,rule_checked_category_value,源页面、单位、类别行锚点和清单上下文已通过规则校核；仍保留在类别值层,375,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,保留 operational control、equity share、sold products、production、throughput 等边界；人工确认后再进入采信或专项类别层。,,,
13,r013_shell,SHELL,壳牌公司,scope3_category_value,,1,,Equity boundary,119,MtCO2e,119.0,rule_checked_category_value,源页面、单位、类别行锚点和清单上下文已通过规则校核；仍保留在类别值层,99,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,保留 operational control、equity share、sold products、production、throughput 等边界；人工确认后再进入采信或专项类别层。,,,
13,r013_shell,SHELL,壳牌公司,scope3_category_value,,11,,,845,MtCO2e,845.0,rule_checked_category_value,源页面、单位、类别行锚点和清单上下文已通过规则校核；仍保留在类别值层,99,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,保留 operational control、equity share、sold products、production、throughput 等边界；人工确认后再进入采信或专项类别层。,,,
13,r013_shell,SHELL,壳牌公司,scope3_category_value,,11,,ESRS perimeter,845,MtCO2e,845.0,rule_checked_category_value,源页面、单位、类别行锚点和清单上下文已通过规则校核；仍保留在类别值层,375,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,保留 operational control、equity share、sold products、production、throughput 等边界；人工确认后再进入采信或专项类别层。,,,
13,r013_shell,SHELL,壳牌公司,scope3_category_value,,11,,Equity boundary,491,MtCO2e,491.0,rule_checked_category_value,源页面、单位、类别行锚点和清单上下文已通过规则校核；仍保留在类别值层,99,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,保留 operational control、equity share、sold products、production、throughput 等边界；人工确认后再进入采信或专项类别层。,,,
13,r013_shell,SHELL,壳牌公司,scope3_category_value,,3,,,2,MtCO2e,2.0,rule_checked_category_value,源页面、单位、类别行锚点和清单上下文已通过规则校核；仍保留在类别值层,103,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,保留 operational control、equity share、sold products、production、throughput 等边界；人工确认后再进入采信或专项类别层。,,,
13,r013_shell,SHELL,壳牌公司,scope3_category_value,,3,,Equity boundary,117,MtCO2,,review_required,类别候选质量不是 high；单位不能稳定折算为 CO2e,99,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,保留 operational control、equity share、sold products、production、throughput 等边界；人工确认后再进入采信或专项类别层。,,,
13,r013_shell,SHELL,壳牌公司,scope3_category_value,,9,,,3,MtCO2e,3.0,rule_checked_category_value,源页面、单位、类别行锚点和清单上下文已通过规则校核；仍保留在类别值层,99,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,保留 operational control、equity share、sold products、production、throughput 等边界；人工确认后再进入采信或专项类别层。,,,
13,r013_shell,SHELL,壳牌公司,scope_direct_use,Scope 1,,,,,,50.0,manual_validated,,109,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,保留 operational control、equity share、sold products、production、throughput 等边界；人工确认后再进入采信或专项类别层。,,,
13,r013_shell,SHELL,壳牌公司,scope_direct_use,Scope 2,,Location-Based,,,,8.0,manual_validated,,109,shell-annual-report-2024.pdf,C:\Users\lenovo\Desktop\一些任务\董敬轩\知识图谱\2024世界500强及碳中和报告\2024世界500强及碳中和报告\shell-annual-report-2024.pdf,保留 operational control、equity share、sold products、production、throughput 等边界；人工确认后再进入采信或专项类别层。,,,
