evidence_page,relation,source,target
,publishes,company::r131_waltdisney,report::r131_waltdisney__20240__other
,matched_to_source,report::r131_waltdisney__20240__other,source::华特迪士尼公司-2024-SSI-Report.pdf
,publishes,company::r132_orlen,report::r132_orlen__20240__other
,matched_to_source,report::r132_orlen__20240__other,source::Management Board on the Operations of ORLEN Group 2024.pdf.coredownload.pdf
,publishes,company::r133_delltechnologies,report::r133_delltechnologies__nan__esgreport
,matched_to_source,report::r133_delltechnologies__nan__esgreport,source::DELL中国delltechnologies-esg-fy24-performance-metrics.pdf
,publishes,company::r134_dhlgroup,report::r134_dhlgroup__20240__sustainabilityreport
,matched_to_source,report::r134_dhlgroup__20240__sustainabilityreport,source::DHL-Group_2024-Progress-Report-on-Sustainability.pdf
,publishes,company::r135_chinatelecommunications,report::r135_chinatelecommunications__20240__sustainabilityreport
,matched_to_source,report::r135_chinatelecommunications__20240__sustainabilityreport,source::2024-中国电信集团有限公司可持续发展报告.pdf
,publishes,company::r136_nissanmotor,report::r136_nissanmotor__nan__other
,matched_to_source,report::r136_nissanmotor__nan__other,source::NISSAN MOTOR-DB25_E_All.pdf
,publishes,company::r137_royalbankofcanada,report::r137_royalbankofcanada__20240__sustainabilityreport
,matched_to_source,report::r137_royalbankofcanada__20240__sustainabilityreport,source::ROYAL BANK OF CANADA-RBC-2024-sustainability-report.pdf
,publishes,company::r139_lowes,report::r139_lowes__20240__other
,matched_to_source,report::r139_lowes__20240__other,source::Lowes_2024_CRR_6.30.25_1_0.pdf
,publishes,company::r140_tesco,report::r140_tesco__20250__sustainabilityreport
,matched_to_source,report::r140_tesco__20250__sustainabilityreport,source::tesco-sustainability-report-2025.pdf
,publishes,company::r143_byd,report::r143_byd__20240__sustainabilityreport
,matched_to_source,report::r143_byd__20240__sustainabilityreport,source::比亚迪年度可持续报告2024.pdf
,publishes,company::r144_nipponlifeinsurance,report::r144_nipponlifeinsurance__20240__sustainabilityreport
,matched_to_source,report::r144_nipponlifeinsurance__20240__sustainabilityreport,source::NIPPON LIFE INSURANCE-2024_Sustainability_Report.pdf
,publishes,company::r145_siemens,report::r145_siemens__20240__sustainabilityreport
,matched_to_source,report::r145_siemens__20240__sustainabilityreport,source::SIEMENS ENERGY-sustainability-report-2024-pdf_Original%20file.pdf
,publishes,company::r146_japanpostholdings,report::r146_japanpostholdings__20230__other
,matched_to_source,report::r146_japanpostholdings__20230__other,source::日本邮政控股公司-2023_all.pdf
,publishes,company::r148_mitsubishiufjfinancialgroup,report::r148_mitsubishiufjfinancialgroup__20240__other
,matched_to_source,report::r148_mitsubishiufjfinancialgroup__20240__other,source::MITSUBISHI UFJ FINANCIAL GROUP-2024_en.pdf
,publishes,company::r150_wuchanzhongdagroup,report::r150_wuchanzhongdagroup__20240__other
,matched_to_source,report::r150_wuchanzhongdagroup__20240__other,source::2024物产中大集团股份有限公司环境、社会及治理报告.pdf
,publishes,company::r151_sevenandi控股公司,report::r151_sevenandi控股公司__20240__other
,matched_to_source,report::r151_sevenandi控股公司__20240__other,source::Seven & I 控股公司-2024_all_01.pdf
,publishes,company::r152_albertsons,report::r152_albertsons__20200__other
,matched_to_source,report::r152_albertsons__20200__other,source::ALBERTSONS-aci2020ada_download.pdf
,publishes,company::r154_bankofcommunications,report::r154_bankofcommunications__20240__other
,matched_to_source,report::r154_bankofcommunications__20240__other,source::2024交通银行股份有限公司ESG报告.pdf
,publishes,company::r157_jiangxicopper,report::r157_jiangxicopper__20240__other
,matched_to_source,report::r157_jiangxicopper__20240__other,source::2024江西铜业集团有限公司环境、社会及管治报告.pdf
,publishes,company::r158_peoplesinsurancecoofchina,report::r158_peoplesinsurancecoofchina__20240__sustainabilityreport
,matched_to_source,report::r158_peoplesinsurancecoofchina__20240__sustainabilityreport,source::2024-中国人民保险集团股份有限公司可持续发展报告.pdf
,publishes,company::r159_boeing,report::r159_boeing__20250__sustainabilityreport
,matched_to_source,report::r159_boeing__20250__sustainabilityreport,source::2025-boeing-sustainability-report.pdf
,publishes,company::r163_sysco,report::r163_sysco__nan__sustainabilityreport
,matched_to_source,report::r163_sysco__nan__sustainabilityreport,source::Sysco FY24 Sustainability Report.pdf
,publishes,company::r164_daiichilifeholdings,report::r164_daiichilifeholdings__20240__other
,matched_to_source,report::r164_daiichilifeholdings__20240__other,source::2024-DAI-ICHI LIFE HOLDINGS-index_001.pdf
,publishes,company::r165_pertamina,report::r165_pertamina__nan__other
,matched_to_source,report::r165_pertamina__nan__other,source::PERTAMINA—FULL_SR PHE 24_(09_01)_Web Version (1).pdf
,publishes,company::r166_vinci,report::r166_vinci__20240__other
,matched_to_source,report::r166_vinci__20240__other,source::VINCI-2024_workforce_related_environmental_and_social_information.pdf
,classified_as,company::r131_waltdisney,industry::R
,classified_as,company::r132_orlen,industry::D
,classified_as,company::r133_delltechnologies,industry::C
,classified_as,company::r134_dhlgroup,industry::G
,classified_as,company::r135_chinatelecommunications,industry::I
,classified_as,company::r136_nissanmotor,industry::C
,classified_as,company::r137_royalbankofcanada,industry::J
,classified_as,company::r139_lowes,industry::F
,classified_as,company::r140_tesco,industry::F
,classified_as,company::r143_byd,industry::C
,classified_as,company::r144_nipponlifeinsurance,industry::J
,classified_as,company::r145_siemens,industry::C
,classified_as,company::r146_japanpostholdings,industry::J
,classified_as,company::r148_mitsubishiufjfinancialgroup,industry::J
,classified_as,company::r150_wuchanzhongdagroup,industry::L
,classified_as,company::r151_sevenandi控股公司,industry::F
,classified_as,company::r152_albertsons,industry::F
,classified_as,company::r154_bankofcommunications,industry::J
,classified_as,company::r157_jiangxicopper,industry::C
,classified_as,company::r158_peoplesinsurancecoofchina,industry::J
,classified_as,company::r159_boeing,industry::C
,classified_as,company::r163_sysco,industry::F
,classified_as,company::r164_daiichilifeholdings,industry::J
,classified_as,company::r165_pertamina,industry::D
,classified_as,company::r166_vinci,industry::E
3,documents_standard_reference,report::r131_waltdisney__20240__other,standard_ref::batch_04__r131_waltdisney__20240__other__sasb
,references_standard,standard_ref::batch_04__r131_waltdisney__20240__other__sasb,standard::SASB
,belongs_to_standard_family,standard_ref::batch_04__r131_waltdisney__20240__other__sasb,standard_family::Industry disclosure framework
,has_standard_role,standard_ref::batch_04__r131_waltdisney__20240__other__sasb,standard_role::Disclosure guideline
3,documents_standard_reference,report::r131_waltdisney__20240__other,standard_ref::batch_04__r131_waltdisney__20240__other__tcfd
,references_standard,standard_ref::batch_04__r131_waltdisney__20240__other__tcfd,standard::TCFD
,belongs_to_standard_family,standard_ref::batch_04__r131_waltdisney__20240__other__tcfd,standard_family::Climate disclosure framework
