evidence_page,relation,source,target
,publishes,company::r079_uniper公司,report::r079_uniper公司__20250__climatereport
,matched_to_source,report::r079_uniper公司__20250__climatereport,source::2025_08_07_Uniper_Climate_Transition_Plan_2025.pdf
,publishes,company::r082_allianz,report::r082_allianz__20240__annualreport
,matched_to_source,report::r082_allianz__20240__annualreport,source::en-allianz-group-annual-report-2024.pdf
,publishes,company::r084_chinaenergyinvestment,report::r084_chinaenergyinvestment__20240__sustainabilityreport
,matched_to_source,report::r084_chinaenergyinvestment__20240__sustainabilityreport,source::2024-国家能源投资集团有限责任公司可持续发展报告.pdf
,publishes,company::r085_xiamencandd,report::r085_xiamencandd__20240__sustainabilityreport
,matched_to_source,report::r085_xiamencandd__20240__sustainabilityreport,source::2024-厦门建发集团有限公司可持续发展报告.pdf
,publishes,company::r086_relianceindustries,report::r086_relianceindustries__20240__other
,matched_to_source,report::r086_relianceindustries__20240__other,source::RELIANCE INDUSTRIES-BRSR2024~25.pdf
,publishes,company::r089_rosneftoil,report::r089_rosneftoil__20240__other
,matched_to_source,report::r089_rosneftoil__20240__other,source::ROSNEFT OIL-Rosneft_SR2024_ENG.pdf
,publishes,company::r090_target,report::r090_target__20240__sustainabilityreport
,matched_to_source,report::r090_target__20240__sustainabilityreport,source::TARGET-2024-Sustainability-and-Governance-Report-Appendix.pdf
,publishes,company::r091_equinor公司,report::r091_equinor公司__20240__annualreport
,matched_to_source,report::r091_equinor公司__20240__annualreport,source::annual-report-2024-equinor.pdf
,publishes,company::r093_saicmotor,report::r093_saicmotor__20240__other
,matched_to_source,report::r093_saicmotor__20240__other,source::2024-上海汽车集团股份有限公司ESG报告.pdf
,publishes,company::r096_nestlé,report::r096_nestlé__20240__other
,matched_to_source,report::r096_nestlé__20240__other,source::NESTLÉ-non-financial-statement-2024.pdf
,publishes,company::r104_sociétégénérale,report::r104_sociétégénérale__20250__other
,matched_to_source,report::r104_sociétégénérale__20250__other,source::SOCIÉTÉ GÉNÉRALE-ag-2025-bilan-social-2024-fr.pdf
,publishes,company::r107_itochu,report::r107_itochu__20240__esgreport
,matched_to_source,report::r107_itochu__20240__esgreport,source::ITOCHU-ESG report 2024.pdf
,publishes,company::r108_powerchina,report::r108_powerchina__20240__other
,matched_to_source,report::r108_powerchina__20240__other,source::2024中国电力建设集团有限公司社会责任报告.pdf
,publishes,company::r110_tesla,report::r110_tesla__20240__impactreport
,matched_to_source,report::r110_tesla__20240__impactreport,source::2024-tesla-impact-report-highlights.pdf
,publishes,company::r111_morganstanley,report::r111_morganstanley__20230__other
,matched_to_source,report::r111_morganstanley__20230__other,source::Morgan_Stanley_2023_ESG_Report.pdf
,publishes,company::r112_sinopharm,report::r112_sinopharm__20220__other
,matched_to_source,report::r112_sinopharm__20220__other,source::2022中国医药集团有限公司环境、社会及管治报告.pdf
,publishes,company::r113_brookfield,report::r113_brookfield__20240__sustainabilityreport
,matched_to_source,report::r113_brookfield__20240__sustainabilityreport,source::BROOKFIELD-BAM Ltd. 2024 Sustainability Report.pdf
,publishes,company::r115_johnsonandjohnson,report::r115_johnsonandjohnson__20240__esgreport
,matched_to_source,report::r115_johnsonandjohnson__20240__esgreport,source::johnson-johnson-2024-esg-summary.pdf
,publishes,company::r116_indianoil,report::r116_indianoil__20230__sustainabilityreport
,matched_to_source,report::r116_indianoil__20230__sustainabilityreport,source::INDIAN OIL-IOCL-Sustainability-Report-2023-24.pdf
,publishes,company::r117_adm公司,report::r117_adm公司__20230__sustainabilityreport
,matched_to_source,report::r117_adm公司__20230__sustainabilityreport,source::final_archer-daniels-midland-adm_2023-corporate-sustainability-report.pdf
,publishes,company::r120_nippontelegraphandtelephone,report::r120_nippontelegraphandtelephone__nan__integratedreport
,matched_to_source,report::r120_nippontelegraphandtelephone__nan__integratedreport,source::NIPPON TELEGRAPH AND TELEPHONE-integrated_report_24e_p.pdf
