evidence_page,relation,source,target
,publishes,company::r324_americaninternationalgroup,report::r324_americaninternationalgroup__20240__sustainabilityreport
,matched_to_source,report::r324_americaninternationalgroup__20240__sustainabilityreport,source::AMERICAN INTERNATIONAL GROUP-aig-sustainability-report-2024.pdf
,publishes,company::r326_sinomach,report::r326_sinomach__20240__other
,matched_to_source,report::r326_sinomach__20240__other,source::中国机械工业集团有限公司社会责任报告 2024.pdf
,publishes,company::r327_talanx公司,report::r327_talanx公司__20230__other
,matched_to_source,report::r327_talanx公司__20230__other,source::Talanx_Nachhaltigkeitsbericht_2023_en.pdf
,publishes,company::r329_astrazeneca,report::r329_astrazeneca__20240__other
,matched_to_source,report::r329_astrazeneca__20240__other,source::AstraZeneca_AR_2024.pdf
,publishes,company::r334_caixaeconômicafederal,report::r334_caixaeconômicafederal__20240__other
,matched_to_source,report::r334_caixaeconômicafederal__20240__other,source::CAIXA ECONÔMICA FEDERAL relatorio-sustentabilidade-2024.pdf
,publishes,company::r335_chs公司,report::r335_chs公司__20240__sustainabilityreport
,matched_to_source,report::r335_chs公司__20240__sustainabilityreport,source::CHS Sustainability Report2024.pdf
,publishes,company::r339_hyundaimobis,report::r339_hyundaimobis__20250__sustainabilityreport
,matched_to_source,report::r339_hyundaimobis__20250__sustainabilityreport,source::HYUNDAI MOBIS sustainability report 2025.pdf
,publishes,company::r342_bristolmyerssquibb,report::r342_bristolmyerssquibb__20240__other
,matched_to_source,report::r342_bristolmyerssquibb__20240__other,source::BRISTOL-MYERS SQUIBB BMS-Building-a-Better-Future-Report-2024.pdf
,publishes,company::r344_continental,report::r344_continental__20240__annualreport
,matched_to_source,report::r344_continental__20240__annualreport,source::CONTINENTAL annual-report-2024.pdf
,publishes,company::r350_telefónica,report::r350_telefónica__20240__other
,matched_to_source,report::r350_telefónica__20240__other,source::2024TELEFÓNICA consolidated-management-report.pdf
,publishes,company::r352_bestbuy,report::r352_bestbuy__20250__other
,matched_to_source,report::r352_bestbuy__20250__other,source::BestBuy-CRS-Report-2025.pdf
,publishes,company::r353_woolworthsgroup,report::r353_woolworthsgroup__20250__sustainabilityreport
,matched_to_source,report::r353_woolworthsgroup__20250__sustainabilityreport,source::2025_WOOLWORTHS GROUP_Sustainability_Report_Interactive_SPREADS.pdf
,publishes,company::r356_thermofisherscientific,report::r356_thermofisherscientific__20230__other
,matched_to_source,report::r356_thermofisherscientific__20230__other,source::2023-THERMO FISHER SCIENTIFIC-CSR-Report.pdf
,publishes,company::r359_massachusettsmutuallifeinsurance,report::r359_massachusettsmutuallifeinsurance__20240__sustainabilityreport
,matched_to_source,report::r359_massachusettsmutuallifeinsurance__20240__sustainabilityreport,source::2024-MASSACHUSETTS MUTUAL LIFE INSURANCE-sustainabilityreport.pdf
,publishes,company::r365_travelers公司,report::r365_travelers公司__20240__sustainabilityreport
,matched_to_source,report::r365_travelers公司__20240__sustainabilityreport,source::Travelers_SustainabilityReport2024.pdf
,publishes,company::r366_warnerbrosdiscovery,report::r366_warnerbrosdiscovery__20240__impactreport
,matched_to_source,report::r366_warnerbrosdiscovery__20240__impactreport,source::WARNER BROS. DISCOVERY_2024_impact_report.pdf
,publishes,company::r367_canadianimperialbankofcommerce,report::r367_canadianimperialbankofcommerce__20240__sustainabilityreport
,matched_to_source,report::r367_canadianimperialbankofcommerce__20240__sustainabilityreport,source::CANADIAN IMPERIAL BANK OF COMMERCE-sustainability-report-2024-en.pdf
,publishes,company::r368_lyondellbasellindustries,report::r368_lyondellbasellindustries__20240__sustainabilityreport
