evidence_page,relation,source,target
,publishes,company::r398_compassgroup,report::r398_compassgroup__20240__sustainabilityreport
,matched_to_source,report::r398_compassgroup__20240__sustainabilityreport,source::COMPASS GROUP sustainability-report_2024.pdf
,publishes,company::r399_meijiyasudalifeinsurance,report::r399_meijiyasudalifeinsurance__20240__annualreport
,matched_to_source,report::r399_meijiyasudalifeinsurance__20240__annualreport,source::MEIJI YASUDA LIFE INSURANCE annual_2024_all.pdf
,publishes,company::r401_suncorenergy,report::r401_suncorenergy__20230__sustainabilityreport
,matched_to_source,report::r401_suncorenergy__20230__sustainabilityreport,source::2023_SUNCOR ENERGY_sustainability_report.pdf
,publishes,company::r403_ubertechnologies公司,report::r403_ubertechnologies公司__20230__esgreport
,matched_to_source,report::r403_ubertechnologies公司__20230__esgreport,source::uber-technologies-inc-2023-esg-report.pdf
,publishes,company::r406_suzukimotor,report::r406_suzukimotor__20240__sustainabilityreport
,matched_to_source,report::r406_suzukimotor__20240__sustainabilityreport,source::2024_SUZUKI MOTOR_Sustainability_Date-BOOK.pdf
,publishes,company::r407_haiersmarthome,report::r407_haiersmarthome__20240__other
,matched_to_source,report::r407_haiersmarthome__20240__other,source::海尔智家股份有限公司2024ESG报告.pdf
,publishes,company::r409_laposte,report::r409_laposte__20240__esgreport
,matched_to_source,report::r409_laposte__20240__esgreport,source::2024 LA POSTE ESG.pdf
,publishes,company::r413_honeywellinternational,report::r413_honeywellinternational__20250__impactreport
,matched_to_source,report::r413_honeywellinternational__20250__impactreport,source::HONEYWELL INTERNATIONAL-2025-impact-report.pdf
,publishes,company::r416_mitsubishielectric,report::r416_mitsubishielectric__20240__integratedreport
,matched_to_source,report::r416_mitsubishielectric__20240__integratedreport,source::MITSUBISHI ELECTRIC integrated_report2024_en.pdf
,publishes,company::r418_chinadatang,report::r418_chinadatang__20230__sustainabilityreport
,matched_to_source,report::r418_chinadatang__20230__sustainabilityreport,source::2023_中国大唐集团有限公司_Sustainability_Report.pdf
,publishes,company::r421_jardinematheson,report::r421_jardinematheson__20240__sustainabilityreport
,matched_to_source,report::r421_jardinematheson__20240__sustainabilityreport,source::2024_JARDINE MATHESON_sustainability_report.pdf
,publishes,company::r422_mondelezinternational,report::r422_mondelezinternational__20240__esgreport
,matched_to_source,report::r422_mondelezinternational__20240__esgreport,source::2024-MONDELEZ INTERNATIONAL-Snacking-Made-Right-ESG-Report.pdf
,publishes,company::r423_daiwahouseindustry,report::r423_daiwahouseindustry__20250__sustainabilityreport
,matched_to_source,report::r423_daiwahouseindustry__20250__sustainabilityreport,source::2025 DAIWA HOUSE INDUSTRY_Sustainability_All.pdf
,publishes,company::r424_starbucks,report::r424_starbucks__20240__impactreport
,matched_to_source,report::r424_starbucks__20240__impactreport,source::Starbucks-Fiscal-2024-Global-Impact-Report.pdf
,publishes,company::r425_olamgroup,report::r425_olamgroup__20240__annualreport
,matched_to_source,report::r425_olamgroup__20240__annualreport,source::OLAM GROUP_annual_report_2024.pdf
,publishes,company::r426_qualcomm,report::r426_qualcomm__20240__other
,matched_to_source,report::r426_qualcomm__20240__other,source::2024-qualcomm-corporate-responsibility-report.pdf
,publishes,company::r427_broadcom,report::r427_broadcom__20240__other
,matched_to_source,report::r427_broadcom__20240__other,source::broadcom-2024-corpresponsibility-final.pdf
,publishes,company::r428_jfeholdings,report::r428_jfeholdings__20240__sustainabilityreport
,matched_to_source,report::r428_jfeholdings__20240__sustainabilityreport,source::JFE HOLDINGS sustainability2024e.pdf
,publishes,company::r431_elo集团,report::r431_elo集团__20240__other
,matched_to_source,report::r431_elo集团__20240__other,source::RFA_ELO_2024_EN-1.pdf
,publishes,company::r433_mercadona公司,report::r433_mercadona公司__20240__annualreport
,matched_to_source,report::r433_mercadona公司__20240__annualreport,source::Mercadona-annual-report-2024.pdf
,publishes,company::r434_drhorton公司,report::r434_drhorton公司__20240__sustainabilityreport
,matched_to_source,report::r434_drhorton公司__20240__sustainabilityreport,source::d-r-horton-inc-fy2024-sustainability-report.pdf
,publishes,company::r440_philipmorrisinternational,report::r440_philipmorrisinternational__20240__integratedreport
,matched_to_source,report::r440_philipmorrisinternational__20240__integratedreport,source::PHILIP MORRIS INTERNATIONAL-integrated-report-2024.pdf
,publishes,company::r441_paccar,report::r441_paccar__20240__esgreport
,matched_to_source,report::r441_paccar__20240__esgreport,source::PACCAR-sasb-esg-combined-report-feb_2024.pdf
,publishes,company::r443_crh公司,report::r443_crh公司__20240__sustainabilityreport
,matched_to_source,report::r443_crh公司__20240__sustainabilityreport,source::crh-2024-sustainability-performance-report_final_interactive-1.pdf
,publishes,company::r445_salesforce,report::r445_salesforce__nan__impactreport
,matched_to_source,report::r445_salesforce__nan__impactreport,source::salesforce-fy24-stakeholder-impact-report.pdf
,classified_as,company::r398_compassgroup,industry::H
,classified_as,company::r399_meijiyasudalifeinsurance,industry::J
,classified_as,company::r401_suncorenergy,industry::D
,classified_as,company::r403_ubertechnologies公司,industry::F
,classified_as,company::r406_suzukimotor,industry::C
,classified_as,company::r407_haiersmarthome,industry::C
,classified_as,company::r409_laposte,industry::G
,classified_as,company::r413_honeywellinternational,industry::C
,classified_as,company::r416_mitsubishielectric,industry::C
,classified_as,company::r418_chinadatang,industry::D
,classified_as,company::r421_jardinematheson,industry::C
,classified_as,company::r422_mondelezinternational,industry::C
,classified_as,company::r423_daiwahouseindustry,industry::E
,classified_as,company::r424_starbucks,industry::H
,classified_as,company::r425_olamgroup,industry::C
,classified_as,company::r426_qualcomm,industry::C
,classified_as,company::r427_broadcom,industry::C
,classified_as,company::r428_jfeholdings,industry::C
